        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
----------------------------------------------------------------------
                      40                      -1.4013714
               40.259998                      -1.4176792
                   40.52                      -1.4315912
               40.779999                      -1.4473508
               41.040001                       -1.472619
               41.299999                      -1.5141793
               41.560001                      -1.5740367
                   41.82                      -1.6487929
               42.080002                       -1.733454
                   42.34                      -1.8280935
               42.599998                      -1.9432359
               42.860001                      -2.0996643
               43.119999                      -2.3212026
               43.380001                      -2.6223608
               43.639999                      -2.9938092
               43.900002                       -3.389339
                   44.16                      -3.7230761
               44.419998                       -3.893282
                   44.68                      -3.8370443
               44.939999                      -3.5752718
               45.200001                      -3.1971627
               45.459999                      -2.8030471
               45.720001                      -2.4623725
                   45.98                      -2.2044181
               46.240002                      -2.0271769
                    46.5                      -1.9110476
               46.759998                      -1.8319733
                   47.02                      -1.7715561
               47.279999                      -1.7217671
               47.540001                      -1.6834505
               47.799999                      -1.6607897
               48.060001                      -1.6557514
                   48.32                      -1.6656117
               48.580002                      -1.6842237
                   48.84                      -1.7055577
               49.099998                      -1.7269324
               49.360001                      -1.7499084
               49.619999                      -1.7784858
               49.880001                      -1.8160848
               50.139999                      -1.8633512
               50.400002                      -1.9180267
                   50.66                      -1.9767186
               50.919998                      -2.0372846
                   51.18                      -2.1002518
               51.439999                       -2.168441
               51.700001                      -2.2452045
               51.959999                      -2.3325252
               52.220001                        -2.43019
                   52.48                       -2.536458
               52.740002                      -2.6496847
                      53                      -2.7698371
               53.259998                      -2.8989406
                   53.52                       -3.040255
               53.779999                      -3.1967943
               54.040001                      -3.3701615
               54.299999                      -3.5603781
               54.560001                      -3.7667405
                   54.82                      -3.9891186
               55.080002                      -4.2288532
                   55.34                      -4.4887208
               55.599998                      -4.7719708
               55.860001                      -5.0810109
               56.119999                       -5.416413
               56.380001                      -5.7766282
               56.639999                      -6.1583013
               56.900002                      -6.5567008
                   57.16                      -6.9656398
               57.419998                      -7.3765497
                   57.68                       -7.776905
               57.939999                      -8.1487627
               58.200001                      -8.4685434
               58.459999                       -8.709162
               58.720001                       -8.844888
                   58.98                       -8.857855
               59.240002                      -8.7435473
                    59.5                      -8.5123786
               59.759998                      -8.1864779
                   60.02                      -7.7935259
               60.279999                      -7.3606537
               60.540001                      -6.9104812
               60.799999                      -6.4597373
               61.060001                      -6.0197675
                   61.32                      -5.5979258
               61.580002                      -5.1989865
                   61.84                       -4.826065
               62.099998                        -4.48097
               62.360001                      -4.1642028
               62.619999                      -3.8749307
               62.880001                      -3.6112218
               63.139999                      -3.3705787
               63.400002                      -3.1505876
                   63.66                      -2.9493945
               63.919998                      -2.7658133
                   64.18                      -2.5990322
               64.440002                      -2.4481626
               64.699997                      -2.3119019
               64.959999                      -2.1885381
               65.220001                      -2.0762629
               65.480003                      -1.9736112
               65.739998                      -1.8797232
                      66                      -1.7942878
               66.260002                      -1.7171974
               66.519997                      -1.6481416
               66.779999                      -1.5863987
               67.040001                      -1.5309489
               67.300003                      -1.4808063
               67.559998                      -1.4353694
                   67.82                      -1.3945368
               68.080002                      -1.3585346
               68.339996                      -1.3275632
               68.599998                      -1.3015097
               68.860001                      -1.2798907
               69.120003                       -1.262074
               69.379997                      -1.2476085
               69.639999                      -1.2364492
               69.900002                       -1.228931
               70.160004                      -1.2255176
               70.419998                      -1.2264969
                   70.68                      -1.2318195
               70.940002                      -1.2411964
               71.199997                      -1.2543667
               71.459999                       -1.271368
               71.720001                      -1.2926335
               71.980003                      -1.3188549
               72.239998                      -1.3507109
                    72.5                      -1.3886545
               72.760002                      -1.4328894
               73.019997                       -1.483563
               73.279999                      -1.5410364
               73.540001                      -1.6060743
               73.800003                      -1.6798281
               74.059998                      -1.7636516
                   74.32                      -1.8588718
               74.580002                      -1.9666897
               74.839996                      -2.0882724
               75.099998                      -2.2250095
               75.360001                      -2.3787695
               75.620003                      -2.5520299
               75.879997                      -2.7478214
               76.139999                      -2.9695678
               76.400002                      -3.2209574
               76.660004                      -3.5059733
               76.919998                      -3.8291309
                   77.18                      -4.1958435
               77.440002                      -4.6127953
               77.699997                      -5.0882228
               77.959999                      -5.6321254
               78.220001                      -6.2565258
               78.480003                       -6.976014
               78.739998                      -7.8088648
                      79                      -8.7790844
               79.260002                      -9.9199695
               79.519997                      -11.280403
               79.779999                       -12.93694
               80.040001                      -15.020016
               80.300003                      -17.780995
               80.559998                      -21.809674
                   80.82                      -29.057282
               81.080002                      -33.509971
               81.339996                      -24.106643
               81.599998                      -19.532912
               81.860001                      -16.633499
               82.120003                       -14.54869
               82.379997                       -12.94686
