        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      40                      0.83560092
               40.259998                     -0.23838323
                   40.52                      -1.3409971
               40.779999                      -2.5098593
               41.040001                      -3.7543463
               41.299999                      -5.0475264
               41.560001                      -6.3431268
                   41.82                      -7.6085271
               42.080002                      -8.8525659
                   42.34                      -10.125104
               42.599998                      -11.478596
               42.860001                       -12.90624
               43.119999                      -14.288012
               43.380001                       -15.37207
               43.639999                      -15.807567
               43.900002                       -15.24632
                   44.16                      -13.530153
               44.419998                       -10.90947
                   44.68                      -8.0820637
               44.939999                      -5.8724248
               45.200001                      -4.7885464
               45.459999                      -4.8699198
               45.720001                      -5.8427438
                   45.98                      -7.3376565
               46.240002                      -9.0343773
                    46.5                      -10.727836
               46.759998                      -12.338592
                   47.02                      -13.882219
               47.279999                      -15.414295
               47.540001                      -16.977449
               47.799999                      -18.575048
               48.060001                      -20.177967
                   48.32                       -21.75141
               48.580002                      -23.281111
                   48.84                      -24.783171
               49.099998                      -26.293443
               49.360001                      -27.845599
               49.619999                       -29.45321
               49.880001                      -31.106811
               50.139999                       -32.78583
               50.400002                      -34.476118
                   50.66                      -36.181628
               50.919998                       -37.92359
                   51.18                      -39.728787
               51.439999                       -41.61544
               51.700001                      -43.585962
               51.959999                       -45.63082
               52.220001                      -47.739554
                   52.48                       -49.91225
               52.740002                      -52.163478
                      53                      -54.517722
               53.259998                      -56.998924
                   53.52                      -59.622095
               53.779999                      -62.391408
               54.040001                        -65.3063
               54.299999                       -68.37078
               54.560001                      -71.600546
                   54.82                      -75.024101
               55.080002                      -78.677208
                   55.34                      -82.595272
               55.599998                       -86.80831
               55.860001                      -91.341725
               56.119999                      -96.222407
               56.380001                      -101.48656
               56.639999                      -107.18466
               56.900002                        -113.381
                   57.16                      -120.14678
               57.419998                      -127.54922
                   57.68                      -135.63818
               57.939999                      -144.43207
               58.200001                      -153.90301
               58.459999                      -163.96246
               58.720001                       -174.4537
                   58.98                       174.84033
               59.240002                       164.16889
                    59.5                       153.77192
               59.759998                       143.84275
